time;latitude;longitude;depth;mag;updated;magNst
2018-05-25T10:06:46.140Z;26.4017;127.3475;58.06;4.6;2018-08-21T21:23:50.040Z;78
2002-05-09T17:45:22.790Z;26.402;128.798;33;4.5;2014-11-07T01:15:36.116Z;17
2011-02-22T04:56:19.740Z;26.419;128.706;16.1;5.1;2015-03-24T01:15:10.822Z;
2017-01-13T12:28:38.780Z;26.4198;127.9091;48.17;4.6;2017-04-01T00:26:11.040Z;95
2002-05-09T16:37:34.840Z;26.44;128.851;33;5.2;2014-11-07T01:15:36.096Z;51
2014-06-19T06:01:05.910Z;26.4437;127.1558;45.29;4.7;2015-01-30T12:58:30.648Z;100
2010-02-28T10:32:22.010Z;26.455;128.373;29.1;4.5;2015-03-24T01:04:31.386Z;
2015-10-03T15:51:19.870Z;26.4584;128.2467;38.1;4.9;2016-01-04T22:28:57.040Z;51
2017-08-08T05:49:36.550Z;26.4808;127.1733;30.34;5.1;2017-10-25T00:38:02.040Z;162
2011-02-22T05:28:22.860Z;26.484;128.748;36;4.8;2015-03-24T01:15:12.237Z;29
2008-08-09T11:54:19.710Z;26.486;128.522;24.6;5.2;2016-11-10T01:59:55.188Z;
2018-10-06T15:18:43.720Z;26.4868;129.4496;10;4.7;2018-11-05T14:09:27.040Z;26
2018-09-15T16:33:21.190Z;26.4878;129.5875;10;4.6;2018-11-21T18:19:16.040Z;10
2004-07-24T18:54:58.270Z;26.488;128.526;30.8;5.5;2016-11-10T00:41:04.896Z;
2011-11-04T01:42:35.220Z;26.488;128.754;30.4;4.6;2014-11-07T01:46:17.213Z;16
2001-09-05T11:17:25.550Z;26.489;128.894;33;4.8;2014-11-07T01:13:44.937Z;12
2005-08-28T18:51:19.170Z;26.49;129.624;7.2;4.7;2016-11-10T01:10:52.364Z;
2005-10-08T06:44:09.680Z;26.493;129.538;26.1;5;2014-11-07T01:27:19.217Z;9
2016-07-25T15:11:54.520Z;26.5081;128.702;21;5.2;2016-09-24T22:47:19.040Z;
2012-02-13T13:11:29.020Z;26.514;128.65;24.5;4.8;2015-03-24T02:27:30.843Z;27
2003-06-19T10:44:24.350Z;26.522;128.558;31.5;5.3;2016-11-09T22:47:32.626Z;
2016-04-19T02:47:01.530Z;26.5277;130.2004;35.11;5;2016-06-27T23:02:12.040Z;292
2005-09-14T10:26:36.210Z;26.53;128.663;32.8;4.7;2016-11-10T01:11:32.203Z;
2013-06-13T13:24:45.360Z;26.533;128.886;20;5.6;2015-01-28T20:41:06.694Z;
2016-03-14T23:11:17.720Z;26.5395;128.8398;32.34;4.6;2016-05-21T00:05:31.040Z;88
2003-06-19T01:35:22.940Z;26.557;128.614;43.7;4.6;2014-11-07T01:18:57.443Z;17
2018-09-15T05:07:44.280Z;26.5723;129.8862;10;4.8;2018-11-21T18:19:16.040Z;17
2018-09-15T16:24:34.810Z;26.5742;129.5279;10.2;5.6;2018-11-21T18:19:12.040Z;46
2017-09-05T06:56:47.730Z;26.5789;127.7675;46.02;4.5;2017-12-07T20:00:13.040Z;37
2013-12-19T13:55:55.220Z;26.5794;127.7289;37.39;4.5;2015-01-29T01:04:18.464Z;
2018-09-15T08:32:21.490Z;26.5998;129.5599;10;5;2018-11-21T18:19:12.040Z;7
2013-09-03T01:08:58.120Z;26.6056;130.095;34.78;4.6;2013-11-15T03:20:22.000Z;
2018-10-04T22:44:32.800Z;26.6068;129.4751;10;5;2018-11-20T22:58:23.040Z;17
2018-09-15T08:19:18.470Z;26.6092;129.5737;10;4.9;2018-11-21T18:19:12.040Z;67
2013-02-26T20:44:55.760Z;26.617;129.12;14.5;5;2014-11-07T01:50:12.183Z;76
2018-09-15T04:52:47.910Z;26.6176;129.6998;10;4.9;2018-11-21T18:19:12.040Z;117
2013-11-06T01:13:30.210Z;26.6205;128.945;31.56;5.4;2014-01-17T00:29:09.000Z;
2018-09-15T16:46:14.580Z;26.6213;129.7791;10;4.6;2018-11-21T18:19:16.040Z;12
2018-09-15T08:11:30.370Z;26.6318;129.6883;10;4.7;2018-11-21T18:19:16.040Z;21
2011-11-08T01:37:27.050Z;26.636;127.813;55.2;4.6;2015-03-24T02:02:26.728Z;12
2011-09-29T18:26:56.370Z;26.648;127.653;45.1;5;2015-03-24T01:44:51.313Z;52
2018-01-14T02:45:21.230Z;26.6489;130.3505;10;4.5;2018-04-03T01:40:30.040Z;12
2016-10-08T18:28:28.140Z;26.6538;127.5217;59.88;4.7;2017-01-07T00:20:46.040Z;123
2018-09-16T17:35:57.040Z;26.655;129.6809;10;4.5;2018-11-21T18:19:17.040Z;11
2018-03-06T12:19:06.450Z;26.658;127.805;50.39;4.6;2018-06-08T05:12:11.040Z;116
2018-09-15T14:09:01.900Z;26.6617;129.8195;10;4.7;2018-11-21T18:19:16.040Z;15
2018-09-22T10:58:01.710Z;26.6637;129.6566;10;5.4;2018-11-27T15:52:02.040Z;39
2018-09-15T08:38:51.920Z;26.6666;129.5559;10;4.6;2018-11-21T18:19:16.040Z;18
